stock;year;sex;age;rate
cancer;2004;1;0;144.359077128012
cancer;2004;1;1;173.523990887187
cancer;2004;1;2;207.981211086209
cancer;2004;1;3;247.50023700515
cancer;2004;1;4;290.844896013559
cancer;2004;1;5;335.525443881535
cancer;2004;1;6;377.805375695701
cancer;2004;1;7;413.116893538364
cancer;2004;1;8;436.91072209272
cancer;2004;1;9;445.748890325952
cancer;2004;1;10;438.258560623344
cancer;2004;1;11;415.547647402802
cancer;2004;1;12;380.89341859757
cancer;2004;1;13;338.843433469403
cancer;2004;1;14;294.110499293481
cancer;2004;1;15;250.664243832546
cancer;2004;1;16;211.24947240953
cancer;2004;1;17;177.33634935083
cancer;2004;1;18;149.35812846088
cancer;2004;1;19;127.058620403262
cancer;2004;1;20;86.0265814333527
cancer;2004;1;21;71.2746115378291
cancer;2004;1;22;60.5465755838051
cancer;2004;1;23;52.9127388382375
cancer;2004;1;24;47.6766945420425
cancer;2004;1;25;44.3303661826976
cancer;2004;1;26;42.5110681147933
cancer;2004;1;27;41.9624314986173
cancer;2004;1;28;42.4993221386885
cancer;2004;1;29;43.9759535193009
cancer;2004;1;30;46.2565812421318
cancer;2004;1;31;49.1893873795867
cancer;2004;1;32;52.5860300466322
cancer;2004;1;33;56.2110327526462
cancer;2004;1;34;59.7855430386798
cancer;2004;1;35;63.0079262304571
cancer;2004;1;36;65.5890482096274
cancer;2004;1;37;67.2944228247078
cancer;2004;1;38;67.9814443576634
cancer;2004;1;39;67.6202634913458
cancer;2004;1;40;66.2919928634931
cancer;2004;1;41;64.1656204137752
cancer;2004;1;42;61.4616098462022
cancer;2004;1;43;58.4128851769989
cancer;2004;1;44;55.2323097198093
cancer;2004;1;45;52.0915820202895
cancer;2004;1;46;49.1120568326091
cancer;2004;1;47;46.3650239772058
cancer;2004;1;48;43.8778970618733
cancer;2004;1;49;41.6431296138407
cancer;2004;1;50;39.627724437924
cancer;2004;1;51;37.7822885412116
cancer;2004;1;52;36.0493457276627
cancer;2004;1;53;34.3709408896998
cancer;2004;1;54;32.6955141789761
cancer;2004;1;55;30.983751004574
cancer;2004;1;56;29.2128352423022
cancer;2004;1;57;27.3784476831345
cancer;2004;1;58;25.4940744869633
cancer;2004;1;59;23.5876901826692
cancer;2004;1;60;21.6964781132321
cancer;2004;1;61;19.8607025741073
cancer;2004;1;62;18.1179647224373
cancer;2004;1;63;16.4988265044436
cancer;2004;1;64;15.024300140328
cancer;2004;1;65;13.70517913986
cancer;2004;1;66;12.5428046980887
cancer;2004;1;67;11.5306964321967
cancer;2004;1;68;10.6565079752667
cancer;2004;1;69;9.9039187850574
cancer;2004;1;70;9.25425934972846
cancer;2004;1;71;8.68782686536335
cancer;2004;1;72;8.18495211996046
cancer;2004;1;73;7.72691904108878
cancer;2004;1;74;7.29682325910682
cancer;2004;1;75;6.88040019690858
cancer;2004;1;76;6.4667783028518
cancer;2004;1;77;6.04904659561581
cancer;2004;1;78;5.62449627435377
cancer;2004;1;79;5.19442332161573
cancer;2004;1;80;4.76346193034268
cancer;2004;1;81;4.33853136398566
cancer;2004;1;82;3.92757904666507
cancer;2004;1;83;3.53835055219646
cancer;2004;1;84;3.17739533426627
cancer;2004;1;85;2.84943813556837
cancer;2004;1;86;2.5571439922535
cancer;2004;1;87;2.30121650989503
cancer;2004;1;88;2.08071815842159
cancer;2004;1;89;1.89349187811284
cancer;2004;1;90;1.73658454874546
cancer;2004;1;91;1.60660843271158
cancer;2004;1;92;1.50001245421242
cancer;2004;1;93;1.41326300834714
cancer;2004;1;94;1.34295153814178
cancer;2004;1;95;1.28585452187571
cancer;2004;1;96;1.23897307841849
cancer;2004;1;97;1.19957608399762
cancer;2004;1;98;1.16526371173652
cancer;2004;1;99;1.13405857475189
cancer;2004;1;100;1.10452066225836
cancer;2004;2;0;200.940698399859
cancer;2004;2;1;235.921272017761
cancer;2004;2;2;276.417704484189
cancer;2004;2;3;322.198956913135
cancer;2004;2;4;372.177420799779
cancer;2004;2;5;424.235570509652
cancer;2004;2;6;475.228130561899
cancer;2004;2;7;521.252980204851
cancer;2004;2;8;558.213004609756
cancer;2004;2;9;582.573385425907
cancer;2004;2;10;592.106559485392
cancer;2004;2;11;586.37971142025
cancer;2004;2;12;566.815495672652
cancer;2004;2;13;536.316510450109
cancer;2004;2;14;498.604133119297
cancer;2004;2;15;457.501287328058
cancer;2004;2;16;416.360693465852
cancer;2004;2;17;377.741791308931
cancer;2004;2;18;343.333417232178
cancer;2004;2;19;314.051322234815
cancer;2004;2;20;152.211258891824
cancer;2004;2;21;137.147327474986
cancer;2004;2;22;125.564291641689
cancer;2004;2;23;117.041565487128
cancer;2004;2;24;111.193439187305
cancer;2004;2;25;107.672130514914
cancer;2004;2;26;106.159783584384
cancer;2004;2;27;106.350699261105
cancer;2004;2;28;107.927115997932
cancer;2004;2;29;110.533616797343
cancer;2004;2;30;113.757132790159
cancer;2004;2;31;117.120961715753
cancer;2004;2;32;120.100778643748
cancer;2004;2;33;122.166697419797
cancer;2004;2;34;122.847609947168
cancer;2004;2;35;121.804280111788
cancer;2004;2;36;118.89044167881
cancer;2004;2;37;114.181240490417
cancer;2004;2;38;107.957539848858
cancer;2004;2;39;100.649522991463
cancer;2004;2;40;92.7566334304264
cancer;2004;2;41;84.7668032302042
cancer;2004;2;42;77.0943313039655
cancer;2004;2;43;70.0459823341149
cancer;2004;2;44;63.8144144952229
cancer;2004;2;45;58.491151580149
cancer;2004;2;46;54.0892407357957
cancer;2004;2;47;50.5672883549217
cancer;2004;2;48;47.8496902228185
cancer;2004;2;49;45.8409269976431
cancer;2004;2;50;44.434004961672
cancer;2004;2;51;43.5144006558022
cancer;2004;2;52;42.9614485928468
cancer;2004;2;53;42.6492364733921
cancer;2004;2;54;42.448853914484
cancer;2004;2;55;42.2332683260892
cancer;2004;2;56;41.8851541016821
cancer;2004;2;57;41.306790845638
cancer;2004;2;58;40.4299999390635
cancer;2004;2;59;39.2234768794711
cancer;2004;2;60;37.6951796180157
