stock;year;sex;age;N
cancer;2010;1;0;7
cancer;2010;1;1;23
cancer;2010;1;2;32
cancer;2010;1;3;40
cancer;2010;1;4;51
cancer;2010;1;5;51
cancer;2010;1;6;48
cancer;2010;1;7;31
cancer;2010;1;8;41
cancer;2010;1;9;40
cancer;2010;1;10;32
cancer;2010;1;11;24
cancer;2010;1;12;35
cancer;2010;1;13;19
cancer;2010;1;14;28
cancer;2010;1;15;32
cancer;2010;1;16;51
cancer;2010;1;17;45
cancer;2010;1;18;70
cancer;2010;1;19;67
cancer;2010;1;20;77
cancer;2010;1;21;73
cancer;2010;1;22;67
cancer;2010;1;23;79
cancer;2010;1;24;93
cancer;2010;1;25;92
cancer;2010;1;26;110
cancer;2010;1;27;114
cancer;2010;1;28;121
cancer;2010;1;29;134
cancer;2010;1;30;142
cancer;2010;1;31;145
cancer;2010;1;32;147
cancer;2010;1;33;175
cancer;2010;1;34;155
cancer;2010;1;35;180
cancer;2010;1;36;204
cancer;2010;1;37;195
cancer;2010;1;38;213
cancer;2010;1;39;210
cancer;2010;1;40;213
cancer;2010;1;41;253
cancer;2010;1;42;266
cancer;2010;1;43;287
cancer;2010;1;44;309
cancer;2010;1;45;316
cancer;2010;1;46;370
cancer;2010;1;47;358
cancer;2010;1;48;377
cancer;2010;1;49;425
cancer;2010;1;50;442
cancer;2010;1;51;552
cancer;2010;1;52;576
cancer;2010;1;53;643
cancer;2010;1;54;779
cancer;2010;1;55;826
cancer;2010;1;56;898
cancer;2010;1;57;1054
cancer;2010;1;58;1218
cancer;2010;1;59;1304
cancer;2010;1;60;1532
cancer;2010;1;61;1767
cancer;2010;1;62;2021
cancer;2010;1;63;2173
cancer;2010;1;64;2348
cancer;2010;1;65;2630
cancer;2010;1;66;2780
cancer;2010;1;67;2715
cancer;2010;1;68;2587
cancer;2010;1;69;2277
cancer;2010;1;70;2200
cancer;2010;1;71;2199
cancer;2010;1;72;2203
cancer;2010;1;73;2024
cancer;2010;1;74;1910
cancer;2010;1;75;1781
cancer;2010;1;76;1575
cancer;2010;1;77;1519
cancer;2010;1;78;1427
cancer;2010;1;79;1380
cancer;2010;1;80;1290
cancer;2010;1;81;1135
cancer;2010;1;82;1037
cancer;2010;1;83;906
cancer;2010;1;84;850
cancer;2010;1;85;750
cancer;2010;1;86;623
cancer;2010;1;87;534
cancer;2010;1;88;456
cancer;2010;1;89;443
cancer;2010;1;90;331
cancer;2010;1;91;224
cancer;2010;1;92;138
cancer;2010;1;93;111
cancer;2010;1;94;72
cancer;2010;1;95;47
cancer;2010;1;96;40
cancer;2010;1;97;24
cancer;2010;1;98;17
cancer;2010;1;99;8
cancer;2010;1;100;8
cancer;2010;2;0;9
cancer;2010;2;1;16
cancer;2010;2;2;30
cancer;2010;2;3;44
cancer;2010;2;4;51
cancer;2010;2;5;37
cancer;2010;2;6;36
cancer;2010;2;7;21
cancer;2010;2;8;27
cancer;2010;2;9;26
cancer;2010;2;10;24
cancer;2010;2;11;27
cancer;2010;2;12;21
cancer;2010;2;13;24
cancer;2010;2;14;24
cancer;2010;2;15;23
cancer;2010;2;16;45
cancer;2010;2;17;48
cancer;2010;2;18;65
cancer;2010;2;19;72
cancer;2010;2;20;63
cancer;2010;2;21;65
cancer;2010;2;22;75
cancer;2010;2;23;100
cancer;2010;2;24;89
cancer;2010;2;25;114
cancer;2010;2;26;116
cancer;2010;2;27;121
cancer;2010;2;28;116
cancer;2010;2;29;158
cancer;2010;2;30;159
cancer;2010;2;31;199
cancer;2010;2;32;203
cancer;2010;2;33;255
cancer;2010;2;34;255
cancer;2010;2;35;317
cancer;2010;2;36;338
cancer;2010;2;37;345
cancer;2010;2;38;372
cancer;2010;2;39;412
cancer;2010;2;40;441
cancer;2010;2;41;468
cancer;2010;2;42;558
cancer;2010;2;43;641
cancer;2010;2;44;742
cancer;2010;2;45;777
cancer;2010;2;46;887
cancer;2010;2;47;821
cancer;2010;2;48;948
