age;man;woman;NCD
0;344915.71720117045;377001.7305903632;cancer
1;344915.71720117045;377001.7305903632;cancer
2;344915.71720117045;377001.7305903632;cancer
3;344915.71720117045;377001.7305903632;cancer
4;344915.71720117045;377001.7305903632;cancer
5;233105.7045744784;268781.16586106643;cancer
6;233105.7045744784;268781.16586106643;cancer
7;233105.7045744784;268781.16586106643;cancer
8;233105.7045744784;268781.16586106643;cancer
9;233105.7045744784;268781.16586106643;cancer
10;223045.4907925985;166179.8891916518;cancer
11;223045.4907925985;166179.8891916518;cancer
12;223045.4907925985;166179.8891916518;cancer
13;223045.4907925985;166179.8891916518;cancer
14;223045.4907925985;166179.8891916518;cancer
15;286985.2689411508;147306.5903204034;cancer
16;286985.2689411508;147306.5903204034;cancer
17;286985.2689411508;147306.5903204034;cancer
18;286985.2689411508;147306.5903204034;cancer
19;286985.2689411508;147306.5903204034;cancer
20;121362.50222351584;53492.20001329728;cancer
21;121362.50222351584;53492.20001329728;cancer
22;121362.50222351584;53492.20001329728;cancer
23;121362.50222351584;53492.20001329728;cancer
24;121362.50222351584;53492.20001329728;cancer
25;130138.42319662868;26950.30990091089;cancer
26;130138.42319662868;26950.30990091089;cancer
27;130138.42319662868;26950.30990091089;cancer
28;130138.42319662868;26950.30990091089;cancer
29;130138.42319662868;26950.30990091089;cancer
30;104136.9615442493;37111.097878421;cancer
31;104136.9615442493;37111.097878421;cancer
32;104136.9615442493;37111.097878421;cancer
33;104136.9615442493;37111.097878421;cancer
34;104136.9615442493;37111.097878421;cancer
35;83153.45396629194;44737.33786006323;cancer
36;83153.45396629194;44737.33786006323;cancer
37;83153.45396629194;44737.33786006323;cancer
38;83153.45396629194;44737.33786006323;cancer
39;83153.45396629194;44737.33786006323;cancer
40;65672.19714505631;62090.33685050541;cancer
41;65672.19714505631;62090.33685050541;cancer
42;65672.19714505631;62090.33685050541;cancer
43;65672.19714505631;62090.33685050541;cancer
44;65672.19714505631;62090.33685050541;cancer
45;92502.41113170992;61203.83767920711;cancer
46;92502.41113170992;61203.83767920711;cancer
47;92502.41113170992;61203.83767920711;cancer
48;92502.41113170992;61203.83767920711;cancer
49;92502.41113170992;61203.83767920711;cancer
50;81301.0242574979;67012.42190479412;cancer
51;81301.0242574979;67012.42190479412;cancer
