year;sex;age;flow;N
2011;1;0;NA_cancer;7
2011;1;0;NA_healthy;57354
2011;1;1;NA_healthy;1035
2011;1;1;cancer_cancer;7
2011;1;1;healthy_cancer;15
2011;1;1;healthy_healthy;59179
2011;1;2;NA_healthy;824
2011;1;2;cancer_cancer;23
2011;1;2;healthy_cancer;12
2011;1;2;healthy_healthy;57962
2011;1;3;NA_healthy;710
2011;1;3;cancer_cancer;32
2011;1;3;healthy_cancer;14
2011;1;3;healthy_healthy;57215
2011;1;4;NA_healthy;687
2011;1;4;cancer_cancer;37
2011;1;4;cancer_comorb;3
2011;1;4;healthy_cancer;7
2011;1;4;healthy_cvd;177
2011;1;4;healthy_healthy;56387
2011;1;5;NA_healthy;624
2011;1;5;cancer_cancer;45
2011;1;5;cancer_comorb;1
2011;1;5;cancer_healthy;5
2011;1;5;comorb_comorb;4
2011;1;5;comorb_cvd;1
2011;1;5;cvd_cvd;132
2011;1;5;cvd_healthy;45
2011;1;5;healthy_cancer;10
2011;1;5;healthy_cvd;23
2011;1;5;healthy_healthy;55903
2011;1;6;NA_healthy;577
2011;1;6;cancer_cancer;41
2011;1;6;cancer_healthy;10
2011;1;6;comorb_comorb;4
2011;1;6;comorb_healthy;1
2011;1;6;cvd_cvd;93
2011;1;6;cvd_healthy;35
2011;1;6;healthy_cancer;6
2011;1;6;healthy_cvd;17
2011;1;6;healthy_healthy;53802
2011;1;7;NA_cvd;2
2011;1;7;NA_healthy;581
2011;1;7;cancer_cancer;40
2011;1;7;cancer_healthy;8
2011;1;7;comorb_comorb;2
2011;1;7;cvd_cvd;127
2011;1;7;cvd_healthy;8
2011;1;7;healthy_cancer;7
2011;1;7;healthy_cvd;25
2011;1;7;healthy_healthy;54016
2011;1;8;NA_healthy;527
2011;1;8;cancer_cancer;25
2011;1;8;cancer_healthy;6
2011;1;8;comorb_comorb;2
2011;1;8;cvd_cvd;96
2011;1;8;cvd_healthy;13
2011;1;8;healthy_cancer;5
2011;1;8;healthy_cvd;28
2011;1;8;healthy_healthy;53057
2011;1;9;NA_healthy;530
2011;1;9;cancer_cancer;27
2011;1;9;cancer_healthy;14
2011;1;9;comorb_comorb;1
2011;1;9;comorb_cvd;1
2011;1;9;cvd_cvd;139
2011;1;9;cvd_healthy;17
2011;1;9;healthy_cancer;7
2011;1;9;healthy_cvd;34
2011;1;9;healthy_healthy;51373
2011;1;10;NA_healthy;490
2011;1;10;cancer_cancer;25
2011;1;10;cancer_healthy;15
2011;1;10;comorb_comorb;2
2011;1;10;cvd_cvd;122
2011;1;10;cvd_healthy;5
2011;1;10;healthy_cancer;8
2011;1;10;healthy_comorb;1
2011;1;10;healthy_cvd;27
2011;1;10;healthy_healthy;49629
2011;1;11;NA_cvd;1
2011;1;11;NA_healthy;539
2011;1;11;cancer_cancer;22
2011;1;11;cancer_comorb;1
2011;1;11;cancer_healthy;9
2011;1;11;comorb_comorb;1
2011;1;11;cvd_comorb;1
2011;1;11;cvd_cvd;117
2011;1;11;cvd_healthy;18
2011;1;11;healthy_cancer;5
2011;1;11;healthy_cvd;21
2011;1;11;healthy_healthy;49530
2011;1;12;NA_healthy;478
2011;1;12;cancer_cancer;18
2011;1;12;cancer_healthy;6
2011;1;12;cvd_cvd;122
2011;1;12;cvd_healthy;17
2011;1;12;healthy_cancer;10
2011;1;12;healthy_cvd;33
2011;1;12;healthy_healthy;48200
2011;1;13;NA_healthy;517
2011;1;13;cancer_cancer;29
2011;1;13;cancer_healthy;6
2011;1;13;cvd_cvd;164
2011;1;13;cvd_healthy;18
2011;1;13;healthy_cancer;9
2011;1;13;healthy_cvd;37
2011;1;13;healthy_healthy;49045
2011;1;14;NA_healthy;552
2011;1;14;cancer_cancer;17
2011;1;14;cancer_healthy;2
2011;1;14;comorb_comorb;1
2011;1;14;comorb_healthy;1
2011;1;14;cvd_cvd;158
2011;1;14;cvd_healthy;22
2011;1;14;healthy_cancer;15
2011;1;14;healthy_cvd;44
2011;1;14;healthy_healthy;49396
2011;1;15;NA_cvd;1
2011;1;15;NA_healthy;698
2011;1;15;cancer_cancer;22
2011;1;15;cancer_healthy;6
2011;1;15;comorb_cancer;1
2011;1;15;comorb_comorb;2
2011;1;15;cvd_cvd;179
2011;1;15;cvd_healthy;23
2011;1;15;healthy_cancer;11
2011;1;15;healthy_comorb;2
2011;1;15;healthy_cvd;78
2011;1;15;healthy_healthy;51663
2011;1;16;NA_healthy;1035
2011;1;16;cancer_cancer;29
2011;1;16;cancer_healthy;3
2011;1;16;cvd_cvd;250
2011;1;16;cvd_healthy;28
2011;1;16;healthy_cancer;9
2011;1;16;healthy_cvd;94
2011;1;16;healthy_healthy;55999
2011;1;17;NA_healthy;1042
2011;1;17;cancer_cancer;42
2011;1;17;cancer_healthy;9
2011;1;17;comorb_comorb;2
2011;1;17;cvd_cvd;297
2011;1;17;cvd_healthy;24
2011;1;17;healthy_cancer;16
2011;1;17;healthy_comorb;1
2011;1;17;healthy_cvd;104
2011;1;17;healthy_healthy;60383
2011;1;18;NA_healthy;667
2011;1;18;cancer_cancer;37
2011;1;18;cancer_healthy;8
2011;1;18;comorb_cancer;1
2011;1;18;comorb_comorb;5
2011;1;18;comorb_cvd;1
2011;1;18;cvd_cvd;379
2011;1;18;cvd_healthy;16
2011;1;18;healthy_cancer;16
2011;1;18;healthy_comorb;1
2011;1;18;healthy_cvd;121
2011;1;18;healthy_healthy;63294
2011;1;19;NA_healthy;629
2011;1;19;cancer_cancer;63
2011;1;19;cancer_comorb;1
2011;1;19;cancer_healthy;6
2011;1;19;comorb_comorb;3
2011;1;19;comorb_healthy;2
2011;1;19;cvd_cvd;478
2011;1;19;cvd_healthy;38
2011;1;19;healthy_cancer;18
