year;sex;age;pop;immig;emig;born;dead
2000;1;0;46764;360;131;0;157
2000;1;1;45641;578;287;0;34
2000;1;2;46503;488;279;0;10
2000;1;3;46902;471;223;0;4
2000;1;4;49080;435;251;0;3
2000;1;5;53464;450;277;0;4
2000;1;6;57625;434;284;0;6
2000;1;7;60277;448;273;0;6
2000;1;8;63755;402;232;0;2
2000;1;9;65302;421;225;0;10
2000;1;10;65588;397;199;0;10
2000;1;11;62175;371;162;0;6
2000;1;12;60765;393;129;0;4
2000;1;13;56697;367;145;0;11
2000;1;14;56080;342;125;3;9
2000;1;15;54532;324;100;6;18
2000;1;16;52392;366;96;21;14
2000;1;17;51201;312;89;87;14
2000;1;18;51730;327;83;177;29
2000;1;19;51581;357;164;347;34
2000;1;20;53199;460;240;601;52
2000;1;21;52292;587;337;889;30
2000;1;22;50866;692;333;1065;45
2000;1;23;52734;781;343;1283;38
2000;1;24;54154;949;370;1557;37
2000;1;25;57028;986;439;2244;41
2000;1;26;60395;1005;514;2643;48
2000;1;27;60091;965;510;3205;46
2000;1;28;61449;909;562;3510;38
2000;1;29;62287;940;521;3719;49
2000;1;30;60254;874;491;3629;35
2000;1;31;60359;818;491;3396;41
2000;1;32;63366;814;536;3241;46
2000;1;33;67716;766;548;3159;62
2000;1;34;68870;731;527;2705;45
2000;1;35;69188;696;479;2350;72
2000;1;36;69053;659;455;1953;63
2000;1;37;64574;564;447;1438;56
2000;1;38;61542;568;411;1085;60
2000;1;39;59641;504;357;835;69
2000;1;40;58485;467;381;550;64
2000;1;41;59539;388;271;379;69
2000;1;42;59334;370;279;234;89
2000;1;43;59663;331;260;153;88
2000;1;44;60670;346;241;76;109
2000;1;45;59303;311;224;42;117
2000;1;46;58237;289;228;24;130
2000;1;47;59869;268;215;5;136
2000;1;48;59322;224;194;3;175
2000;1;49;58712;223;163;6;186
2000;1;50;61537;236;180;0;177
2000;1;51;63422;227;176;0;220
2000;1;52;65494;203;177;0;240
2000;1;53;66298;238;197;0;286
2000;1;54;67198;195;177;0;322
2000;1;55;66857;182;146;0;324
2000;1;56;65848;138;123;0;376
2000;1;57;61287;154;121;0;384
2000;1;58;56194;116;116;0;342
2000;1;59;49291;110;96;0;380
2000;1;60;46796;93;98;0;388
2000;1;61;46586;127;97;0;461
2000;1;62;44233;109;77;0;437
2000;1;63;41804;84;80;0;459
2000;1;64;40030;71;62;0;520
2000;1;65;38222;71;89;0;553
2000;1;66;36251;79;62;0;555
2000;1;67;35201;67;56;0;637
2000;1;68;35895;55;54;0;634
2000;1;69;35039;46;49;0;817
2000;1;70;34813;47;38;0;864
2000;1;71;33233;44;33;0;896
2000;1;72;33288;41;30;0;999
2000;1;73;31712;27;25;0;1108
2000;1;74;31451;30;22;0;1150
2000;1;75;31048;26;23;0;1304
2000;1;76;29834;15;18;0;1379
2000;1;77;29311;10;16;0;1548
2000;1;78;27348;18;15;0;1612
2000;1;79;27458;12;16;0;1794
2000;1;80;26887;17;13;0;1990
2000;1;81;20479;10;10;0;1632
2000;1;82;18121;4;5;0;1736
2000;1;83;16595;6;5;0;1769
2000;1;84;14470;7;7;0;1752
2000;1;85;12377;5;5;0;1655
2000;1;86;10996;3;1;0;1740
2000;1;87;9242;5;2;0;1658
2000;1;88;7504;3;3;0;1457
2000;1;89;6161;0;1;0;1307
2000;1;90;4845;3;5;0;1128
2000;1;91;3689;2;0;0;976
2000;1;92;2653;1;0;0;839
2000;1;93;1907;0;2;0;681
2000;1;94;1325;0;0;0;497
2000;1;95;847;0;2;0;363
2000;1;96;539;0;2;0;298
2000;1;97;367;0;0;0;189
2000;1;98;233;0;0;0;130
2000;1;99;128;0;0;0;86
2000;1;100;163;0;0;0;105
2000;2;0;43950;311;124;0;110
2000;2;1;43589;703;244;0;18
2000;2;2;43801;479;284;0;4
2000;2;3;44555;450;249;0;5
2000;2;4;47065;430;240;0;5
2000;2;5;50619;454;214;0;4
2000;2;6;55297;407;250;0;9
2000;2;7;57776;427;228;0;7
2000;2;8;60351;407;241;0;4
2000;2;9;61446;387;184;0;3
2000;2;10;62314;391;209;0;4
2000;2;11;58898;395;173;0;7
2000;2;12;57149;348;133;0;8
2000;2;13;54411;345;126;0;9
2000;2;14;52959;285;140;1;7
2000;2;15;51326;296;116;11;7
2000;2;16;49271;307;109;20;8
2000;2;17;48259;279;90;94;8
2000;2;18;48865;398;93;151;10
2000;2;19;49423;564;395;320;18
2000;2;20;51050;942;447;549;16
2000;2;21;50511;910;481;817;15
2000;2;22;49155;969;484;945;7
2000;2;23;50562;993;446;1247;17
2000;2;24;52199;985;510;1608;14
2000;2;25;55151;1033;540;2016;8
2000;2;26;58326;1057;561;2574;14
2000;2;27;58124;1015;585;2968;19
2000;2;28;59374;969;560;3200;10
2000;2;29;59933;863;567;3460;17
2000;2;30;58655;874;506;3485;18
2000;2;31;57891;801;482;3193;11
2000;2;32;61150;698;467;3094;20
2000;2;33;64352;730;419;2890;15
2000;2;34;65177;615;397;2626;13
2000;2;35;65452;629;372;2218;35
2000;2;36;65947;540;391;1800;46
2000;2;37;61026;530;302;1316;37
2000;2;38;58625;409;300;1037;37
2000;2;39;57040;402;280;751;42
2000;2;40;56624;432;235;542;38
2000;2;41;56962;344;229;366;37
2000;2;42;56960;335;180;218;47
2000;2;43;58285;259;187;146;63
2000;2;44;58041;262;152;90;72
2000;2;45;57852;268;145;31;75
2000;2;46;56682;246;130;19;91
2000;2;47;58088;216;142;9;91
2000;2;48;57947;205;124;6;88
2000;2;49;57568;187;102;3;120
