year;sex;rate
2000;1;0.0197293164862519
2000;2;0.0185447957474055
2001;1;0.0199744313041518
2001;2;0.0187837114610387
2002;1;0.0208874191168274
2002;2;0.0198007314652129
2003;1;0.0218079700591598
2003;2;0.0204977169768011
2004;1;0.0223532908043787
2004;2;0.0210535958585233
2005;1;0.0225079231470952
2005;2;0.0213288048732275
2006;1;0.0235927308251415
2006;2;0.0222706926259022
2007;1;0.0238472333946715
2007;2;0.0225107111661966
2008;1;0.0240762791484606
2008;2;0.0226223542133702
2009;1;0.0242370093541366
2009;2;0.0228361940855449
2010;1;0.0245876288019529
2010;2;0.023292104839314
2011;1;0.0233889317057913
2011;2;0.022309536902832
2012;1;0.0235320912011638
2012;2;0.022251744144182
2013;1;0.0234091144295019
2013;2;0.022067550220081
2014;1;0.0234238829828451
2014;2;0.0221202660900471
2015;1;0.0233440975931659
2015;2;0.0217225928226149
2016;1;0.0233119243441912
2016;2;0.0221602496818276
2017;1;0.0226274063695834
2017;2;0.0214455344142402
2018;1;0.0224741242545416
2018;2;0.0212528891082624
2019;1;0.0220597004992427
2019;2;0.0207582222876929
2020;1;0.0216914562196864
2020;2;0.0204135168894093
2021;1;0.0217118081832189
2021;2;0.0207068690577684
2022;1;0.0198806328044464
2022;2;0.0187676657231417
2023;1;0.0188264068559581
2023;2;0.0179271299142932
2024;1;0.0185898937416154
2024;2;0.0175541847270185
2025;1;0.0184824980551891
2025;2;0.017468674975678
2026;1;0.0183744522838446
2026;2;0.0173665558543222
2027;1;0.0182518216721026
2027;2;0.0172506519169428
2028;1;0.0182288922923138
2028;2;0.0172289802855142
2029;1;0.0185393494090661
2029;2;0.0175224078541954
2030;1;0.0189118704416308
2030;2;0.0178744949379234
2031;1;0.0193522324471
2031;2;0.0182907017039626
2032;1;0.0198234220753115
2032;2;0.0187360451009274
2033;1;0.0202994039988203
2033;2;0.0191859179207734
2034;1;0.020419114700055
2034;2;0.0192990621138784
2035;1;0.0205407472036057
2035;2;0.0194140226925882
2036;1;0.0205755012996887
2036;2;0.0194468704173323
2037;1;0.020637252067845
2037;2;0.0195052339618428
2038;1;0.0207278773530342
2038;2;0.0195908881654251
2039;1;0.0208533456777446
2039;2;0.0197094741584019
2040;1;0.0209747304999
2040;2;0.0198242006417132
2041;1;0.0210242587404068
2041;2;0.019871012102677
2042;1;0.0211542185780904
2042;2;0.0199938432349715
2043;1;0.0213112215816252
2043;2;0.0201422341306065
2044;1;0.0214713437594017
2044;2;0.0202935731038324
2045;1;0.0216151146273213
2045;2;0.0204294576879512
2046;1;0.0217696906093945
2046;2;0.0205755546919507
2047;1;0.0219137971174737
2047;2;0.0207117565053303
2048;1;0.0220531857449428
2048;2;0.0208434992286981
2049;1;0.0221678777627622
2049;2;0.0209519000289096
2050;1;0.0222706707842336
2050;2;0.0210490545303475
2051;1;0.0222977846014107
2051;2;0.0210746810694896
2052;1;0.0222934849294961
2052;2;0.0210706172481693
2053;1;0.0222503427110853
2053;2;0.0210298415159039
2054;1;0.0221996817444658
2054;2;0.0209819594623543
2055;1;0.0221308223585565
2055;2;0.0209168772301649
2056;1;0.0220786891681831
2056;2;0.0208676037089811
2057;1;0.0220045859603713
2057;2;0.0207975652950137
2058;1;0.0219464878456927
2058;2;0.0207426540444017
2059;1;0.0219006259140631
2059;2;0.0206993077837797
2060;1;0.0218706185790664
2060;2;0.0206709464455258
2061;1;0.0218820852435276
2061;2;0.0206817841273222
2062;1;0.0218596332171575
2062;2;0.0206605636651182
2063;1;0.0218390392895025
2063;2;0.0206410993789845
2064;1;0.021832861068731
2064;2;0.0206352600530455
2065;1;0.0218449573457457
2065;2;0.0206466928112634
2066;1;0.0218661076924589
2066;2;0.02066668299511
2067;1;0.0218901924678845
2067;2;0.0206894466448964
2068;1;0.0219150939305267
2068;2;0.0207129821842037
2069;1;0.0219493567008056
2069;2;0.0207453655338454
2070;1;0.0219926948031399
2070;2;0.0207863264050837
2071;1;0.0220341798548244
2071;2;0.0208255358712687
2072;1;0.0220860283706432
2072;2;0.0208745403331713
2073;1;0.0221477381037304
2073;2;0.02093286509356
2074;1;0.022207456314831
2074;2;0.0209893075731707
2075;1;0.0222663191320115
2075;2;0.021044941580001
2076;1;0.0223227709664128
2076;2;0.0210982968538102
2077;1;0.0223767685050741
2077;2;0.0211493324579726
2078;1;0.0224275828782987
2078;2;0.021197359503095
2079;1;0.0224735893328637
2079;2;0.0212408423589922
2080;1;0.0225133362780399
2080;2;0.0212784090595621
2081;1;0.0225436235621033
2081;2;0.0213070349908626
2082;1;0.0225631869107089
2082;2;0.0213255252284056
2083;1;0.0225708412054078
2083;2;0.0213327596610184
2084;1;0.0225665176094956
2084;2;0.02132867322776
2085;1;0.0225504627002085
2085;2;0.0213134989808364
2086;1;0.0225236812123823
2086;2;0.0212881865418371
2087;1;0.0224877508411897
2087;2;0.0212542270642302
2088;1;0.0224448079645909
2088;2;0.0212136397393276
2089;1;0.0223971630068681
2089;2;0.0211686082571255
2090;1;0.0223471283794557
2090;2;0.0211213181863697
2091;1;0.0222972949620921
2091;2;0.0210742182883766
2092;1;0.0222496152930971
2092;2;0.0210291539990931
2093;1;0.0222058497695198
2093;2;0.0209877891519263
2094;1;0.0221673215734391
2094;2;0.0209513743484212
2095;1;0.0221349220861454
2095;2;0.0209207520747731
2096;1;0.0221091518133693
2096;2;0.0208963953824211
2097;1;0.0220902254781147
2097;2;0.0208785072161433
2098;1;0.0220781534190752
2098;2;0.0208670973474891
2099;1;0.0220727650310906
2099;2;0.0208620045295236
2100;1;0.0220736640826373
2100;2;0.0208628542652799
2101;1;0.0220803876407311
2101;2;0.0208692090150629
2102;1;0.0220924002641863
2102;2;0.0208805627083565
2103;1;0.0221091394352258
2103;2;0.020896383683278
2104;1;0.0221299009369126
2104;2;0.020916006351443
2105;1;0.0221539809280127
2105;2;0.0209387654792895
2106;1;0.0221805931593621
2106;2;0.0209639179462975
2107;1;0.0222089382892614
2107;2;0.0209907082566304
2108;1;0.0222381465849299
2108;2;0.0210183143856197
2109;1;0.0222673200174424
2109;2;0.0210458875637175
2110;1;0.0222955938431924
2110;2;0.0210726104812299
2111;1;0.0223217537657942
2111;2;0.0210973354499283
2112;1;0.0223450400089196
2112;2;0.0211193443695518
2113;1;0.0223647321210746
2113;2;0.0211379563074107
2114;1;0.0223802333872347
2114;2;0.0211526072803141
2115;1;0.0223910873117929
2115;2;0.0211628658332161
2116;1;0.0223969965599262
2116;2;0.0211684509404469
2117;1;0.0223978571728964
2117;2;0.0211692643461135
2118;1;0.0223937698815175
2118;2;0.0211654012554126
2119;1;0.0223850263048698
2119;2;0.0211571372915414
2120;1;0.0223720959569405
2120;2;0.0211449162137635
